id,"productnaam","productomschrijving","merk","img","link","oudeprijs","nieuweprijs","kleur","specialeactie",exclusief,uitverkocht,groeneprijs,2plus1,dames,heren,junior,fashion,outdoor,uitrusting,camping,badmode,fietsen,"categorie",volgorde,actie
99,"2+1","Outdoor t-shirts: 2 kopen, 1 gratis","","2plus1.jpg","/content/nl/zomerfolder2015-2plus1","","","","",NULL,NULL,NULL,1,NULL,250,NULL,NULL,80,NULL,NULL,NULL,NULL,"trekking",292,1
100,"Ambit 2S Graphite","Hoogtemeter","Suunto","SUUNTO_AMBIT-25-GRAPHIT_2421c30008_7015_02.jpg","/suunto-hoogtemeter-ambit-2s-grapphite-2545c32008","399","249","","Inclusief hartslagmeter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,292,NULL,NULL,NULL,"trekking",295,NULL
101,"Ugrip Chain 585-5","Kabelslot","Abus","ABUS_UGRIP-CHAIN_7272c50008_7070_01_be.jpg","/abus-slot-ugrip-chain-a381c52008","27,95","19","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,295,NULL,NULL,295,"fietsen",298,NULL
102,"Vybe D7","Vouwfiets","Dahon","DAHON_VYBE_7116c30001_1010_02_be.jpg","/dahon-vouwfiets-vybe-d7-a216c32001?id_colour=4168","499","349","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,NULL,NULL,298,"fietsen",301,NULL
103,"Cluster 10+3","Rugzak","Vaude","VAUDE_CLUSTER_7511c20015_7070_51.jpg","/vaude-fietsrugzak-cluster-10-3l-a511c52002","59,95","39","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,301,NULL,NULL,301,"fietsen",304,NULL
104,"Activ TC","Helm","Casco","Casco_Activ-TC_Black_left_0802.jpg","/casco-fietshelm-activ-tc-a122c22004?id_colour=4168","","69,95","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,304,NULL,NULL,304,"fietsen",307,NULL
105,"Dinsdag comfort 7V","Stadsfiets","Batavus","BATAVUS_DINSDAG_7113c50060_7070_01_be.jpg","/batavus-citybike-dinsdag-comfort-7v-heren-a213c52060","","799","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,307,NULL,NULL,307,"fietsen",310,NULL
106,"Ichi","Fietstas","Clarijs","CLARIJS_FIETSTAS_A513C52013_5203_01.jpg","/clarijs-covers-fietstas-achter-ichi-krikke-a513c52013","","69,95","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,310,NULL,NULL,310,"fietsen",313,NULL
107,"Vintage","Fietsbel","Liix","LIIX_VINTAGE-FIETSBAL_721ac50008_2424_01_be_Ver1.jpg","/liix-fietsbel-vintage-a391c52008","","6,95","","Slechts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,313,NULL,NULL,313,"fietsen",316,NULL
108,"Transport U4 Jeans","Citybike","Cortina","CORTINA_TRANSPORT-U4_7119c50050_4545_01_be.jpg","/cortina-citybike-transport-u4-jeans-dames-a223c52049","","599","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,316,NULL,NULL,316,"fietsen",319,NULL
109,"Ride","T-shirt Dames","Odlo","ODLO_RIDE_7612c50005_3210_01_be.jpg","/odlo-t-shirt-ride-9112c52003","","69,95","","",NULL,NULL,NULL,NULL,319,NULL,NULL,NULL,NULL,NULL,NULL,NULL,319,"fietsen",322,NULL
110,"Aircontact Pro 60+15","Rugzak Heren","Deuter","Aircontact_Pro.jpg","/deuter-rugzak-aircontact-pro-60-15-1232c30014","259,95","179","","Inclusief regenhoes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,322,NULL,NULL,NULL,"camping",325,NULL
111,"Aircontact Pro 55+15 SL","Rugzak Dames","Deuter","Aircontact_Pro_55.jpg","/deuter-rugzak-act-pro-55-15sl-dames-1231c30006","249,95","175","","Inclusief regenhoes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,325,NULL,NULL,NULL,"camping",328,NULL
112,"Vespucci 4","Tent","Coleman","COLEMAN_VESP_4_PARTY_GRILL.jpg","/coleman-tent-vespucci-4-1142c52001","349,95","249","","Gratis Campingaz Party Grill twv &euro; 54,95",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,328,17,NULL,NULL,"camping",331,NULL
113,"Vespucci 6","Tent","Coleman","COLEMAN_VESP_6_PARTY_GRILL.jpg","/coleman-tent-vespucci-6-1152c52001","449,95","299","","Gratis Campingaz Party Grill twv &euro; 54,96",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,331,18,NULL,NULL,"camping",334,NULL
114,"Bandit","Actiecamera","TomTom","TOMTOM_BANDIT_.jpg","/tomtom-video-bandit-2e21c52003","","429","","",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,334,NULL,NULL,334,"camping",337,NULL
115,"Duffel","19644","Camel","CAMEL-ACTIVE_DUFFEL_2141c50010_5555_01_be.jpg","/camel-active-bags-reistas-19644-2211c52009","59,95","45","#3F3E43 duffel.jpg","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,337,NULL,337,NULL,NULL,NULL,"camping",340,NULL
116,"Toilettas","19743","Camel","CAMEL-ACTIVE_TOILETTAS_2171c50007_5555_01_be.jpg","/camel-active-bags-toilettas-19743-2351c52007","24,95","19","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,340,NULL,340,NULL,NULL,NULL,"camping",343,NULL
117,"Picknickdeken","","Lalay","LALAY_PICNIC_1475C52004_3737.jpg","/lalay-diverse-picknick-deken-1475c52004","","19,95","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,343,343,NULL,NULL,"camping",346,NULL
118,"Smoozip +3&deg;C","Slaapzak","Jack Wolfskin","JACK-WOLFSKIN_SMOOZIP_1324c50006_4040_01_be.jpg","/jack-wolfskin-slaapzak-smoozip-3-1324c50006","99,95","69","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,346,346,NULL,NULL,"camping",349,NULL
119,"Groeneprijs","Koop een cadeaucheque t.w.v. €1 en geniet van de voordeelprijs","","groeneprijs.jpg","/content/nl/groene-voordeelprijzen","24,95","15","","",NULL,NULL,NULL,NULL,NULL,60,100,9,246,NULL,NULL,NULL,NULL,"travel",54,1
120,"Groeneprijs","Koop een cadeaucheque t.w.v. €1 en geniet van de voordeelprijs","","groeneprijs.jpg","/content/nl/groene-voordeelprijzen","24,95","15","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL,"trekking",266,1
121,"Hero 4 Black","Camera","GoPro","GOPRO_4.jpg","/gopro-video-hero-4-black-2e21c52001?id_colour=4168","","529","","Gratis bundle t.w.v. &euro;59,95",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,130,NULL,NULL,300,"camping",29,NULL
122,"Groeneprijs","Koop een cadeaucheque t.w.v. €1 en geniet van de voordeelprijs","","groeneprijs.jpg","/content/nl/groene-voordeelprijzen","24,95","15","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"beach",90,1
